%,persen
ciyusss,serius
ckck,ck
ckckck,heran
ckepp,cakep
ckhusus,khusus
ckp,cakep
ckrng,sekarang
ckup,cukup
clbk,cinta lama bersemi kembali
clear,selesai
cm,cuma
cma,cuma
cman,cuman
cmiiw,correct me if i'm wrong
cmkn,camkan
cmn,cuman
cmpr,campur
cmpur,campur
cn,cak nun
cnderung,cenderung
cnenk,senang
cnt,cinta
cntiiikkk,cantik
cntik,cantik
cntikan,cantikan
cntikk,cantik
cntiknya,cantiknya
cntk,cantik
co,cowok
cobaa,coba
cobaaa,coba
cobaaaa,coba
cobain,coba
cobak,coba
coblos,memilih
coccokk,cocok
cock,cocok
cocokk,cocok
cocokkk,cocok
cocokkkk,cocok
cocokkkkk,cocok
cocokny,cocoknya
cocokx,cocoknya
cocook,cocok
cocookk,cocok
cocot,bacot
cod,bayar di tempat
coeggg,coeg
cogan,cowok ganteng
cogrtaz,selamat
cok,jancuk
comen,komen
comen2nya,komen komennya
coment,komen
comment,komentar
comment2nya,komentar komentarnya
comnet,komen
comntr,komentar
concern,perhatian
cong,banci
congor,mulut
congrats,selamat
congratulation,selamat
conlok,cinta lokasi
contek,sontek
cooocok,cocok
cooooooocok,cocok
copot,lepas
"coret""",coret coret
couple,pasangan
cow,cowok
cowo,cowok
cowwyy,maaf
coxok,cocok
coyyy,coy
coz,karena
cp,siapa
cpa,siapa
cpat,cepat
cpe,capek
cpet,cepat
cpit,sipit
cppa,siapa
cppe,capek
cpt,cepat
cr,cara
cri,cari
criin,carikan
crita,cerita
critamu,ceritamu
crop,potong
crot,ejakulasi
cs,customer service
csmarkasjudi,markas judi
cthin,contohkan
cuaaantikk,cantik
cuaantik,cantik
cuantek,cantik
cuanti,cantik
cuantik,cantik
cuantikkk,cantik
cubanget,lucu banget
cuchook,cocok
cuco,cocok
cucok,cocok
cucokkk,cocok
cuek,tidak acuh
cuex,cuek
cuhatan,curhatan
cuitan,tweet
cuk,jancuk
cukurrr,cukur
cuma,hanya
cuman,cuma
cume,hanya
cumen,hanya
cumi,cuma miscall
cumn,cuman
cums,cuma
cungkring,kurus tinggi
cupet,cepat
cups,culun
cupu,culun
curanmor,pencurian kendaraan bermotor
curas,pencurian dengan kekerasan
curcol,curahan hati colongan
curhat,curahan hati
curhat2,curhat curhat
curut,tikus
cuyy,cuy
cuyyy,cuy
cw,cewek
cwe,cewek
cwek,cewek
cwnya,ceweknya
cwo,cowok
cwok,cowok
cya,sampai jumpa lagi
cyduknya,ciduknya
cyiiin,cinta
cyin,cinta
cz,karena
d,ada
d.apa,diapa
d.bikinin,dibikin
da,ada
daaaah,deh
daaah,dah
daah,dah
dafuk,kurang ajar
dagh,sudah
dah,deh
dahal,padahal
dahh,dah
dahhh,sudah
dahhhh,dah
dahtau,sudah tau
dak,indak
dalem,dalam
dalem2,dalam dalam
dalil2,dalil dalil
dallam,dalam
dalm,dalam
damang,sehat
damat,tidak peduli
dapet,dapat
dapetin,mendapati
dapt,dapat
daptar,daftar
dari pada,daripada
darma bakti,darmabakti
darma siswa,darmasiswa
darpada,daripada
dasa titah,dasatitah
dasa warsa,dasawarsa
dasaar,dasar
dasaarr,dasar
dasarrr,dasar
dasr,dasar
dasyat,dahsyat
dateng,datang
dbandingkan,dibandingkan
dbawah,di bawah
dbicarakan,dibicarakan
dblkang,dibelakang
dblkng,dibelakang
dbnding,dibanding
dbngun,dibangun
dbuat,dibuat
dbwh,dibawah
dcintai,dicintai
ddaerh,didaerah
ddlm,di dalam
ddpat,didapat
ddpt,didapat
dduk,duduk
ddukung,didukung
de,adik
debay,adek bayi
debet,debit
dech,deh
dede,adek
dedek,adek
dedeknya,adeknya
dee,dek
deeek,dek
deeh,deh
defaluasi,devaluasi
deg2an,deg degan
dehat,sehat
dehh,deh
dehhh,deh
dehhhh,deh
dek,adik
deket,dekat
deketin,dekati
dekk,dek
dekkk,dek
dekrit2,dekret
dekt,dekat
delete,hapus
delivery,pengiriman
demen,suka
dempa,demi apa
dempga,semoga
dengarin,mendengarkan
dengeeriin,dengarkan
denger,dengar
dengerin,dengarkan
dengernya,dengarnya
depak,depok
depoan,deposit
depobos,deposit bos
depoin,depositkan
deponya,depositnya
depoo,deposit
deposite,deposit
depositny,depositnya
dept,departemen
des,desember
desertasi,disertasi
design,desain
detil,detail
deuhh,duh
dewassa,dewasa
deweke,dia
deyh,deh
dftar,daftar
dftr,daftar
dg,dengan
dgenjot,digenjot
dger,dengar
dgn,dengan
dgr,dengar
dh,dah
dharam,haram
dharma,darma
dhe,deh
dhi,di
dholim,zalim
dhpusin,dihapuskan
dhuhur,zuhur
diaa,dia
diaaa,dia
diagamalu,di agama kamu
diagnosa,diagnosis
diajarin,diajari
diakhir,di akhir
diakibtkn,diakibatkan
"diam""",diam diam
diamkn,diamkan
dian,diam
diancurin,dihancurkan
diandalin,diandalkan
dianggep,dianggap
diantara,di antara
dianter,diantar
dianterin,diantar
diapa2in,diapa apai
diapain,diapakan
diatas,di atas
diawal,di awal
dibagian,di bagian
dibanggain,dibanggakan
dibangga'in,dibangga banggakan
dibawah,di bawah
dibca,dibaca
dibelakang,di belakang
dibenerin,dibenarkan
diberesin,diselesaikan
diberika,diberikan
dibiarin,dibiarkan
dibiasain,dibiasakan
dibikin2,dibikin bikin
dibkatakan,dikatakan
diblk,dibalik
dibls,dibalas
dibnggain,dibanggakan
dibodohin,dibodohkan
dibrikan,diberikan
dibrlakukn,diberlakukan
dibthkan,dibutuhkan
dibubarin,dibubarkan
dibubarkn,dibubarkan
dibwt,dibuat
dibyr,dibayar
didalam,di dalam
didalem,didalam
didapet,didapat
didatengin,didatangi
didekat,di dekat
didenger,didengar
didengerin,didengarkan
didepan,di depan
didiemin,didiamkan
didlm,didalam
didpt,didapat
didramatisir,didramatisasi
didzolimi,dizallimi
die,dia
diee,dia
dieee,dia
diem,diam
diemen,diam
diemin,diamkan
diemm,diam
differensial,diferensial
difikirkan,dipikirkan
difinisi,definisi
difotoin,difoto
digabtikan,digantikan
digambarin,digambarkan
digangu,diganggu
digeber,dibangun
diginiin,dibeginikan
diginikan,dibeginikan
digituin,dibegitukan
digosipin,digosipkan
digratisun,gratis
dihadapan,di hadapan
diharapin,diharapkan
dihargain,dihargai
dihh,dih
dihpus,dihapus
dii,di
diihhhh,dih
diindonesis,diindonesia
diingatin,diingatkan
diingetin,diingatkan
dijadiin,dijadikan
dijadikeun,menjadikan
dijalan,di jalan
dijaman,dizaman
dijelasin,dijelaskan
dijelekin,dijelekkan
dijepang,di jepang
dijkt,dijakarta
dijlnkan,dijlnkan
dijlnkn,dijalankan
dijualbelikan,menjualbelikan
dijwb,dijawab
dikalahin,dikalahkan
dikanan,di kanan
dikata2in,dikata katai
dikatain,dikatai
dikawatirkan,dikhawatirkan
dikeluarin,dikeluarkan
dikemanain,dikemanakan
dikerasin,dikerasi
dikhndaki,dikehendaki
dikibuli,dibodohi
dikibulin,dibohongi
dikiri,di kiri
dikonfrontir,dikonfrontasi
dikrnkan,dikarenakan
diksh,dikasih
diksi,dikasih
diktaktor,diktator
dikuatirkan,dikhawatirkan
dikumpulin,dikumpulkan
dikwatirkan,dikhawatirkan
diladenin,diladeni
dilakuin,dilakukan
dilanjutin,dilanjutkan
dilepas2,dilepas lepas
diliat,dilihat
diliatnya,dilihatnya
dilindungin,dilindungi
dilkkn,dilakukan
dilokalisir,dilokalisasi
diluangin,diluangkan
diluar,di luar
diluarann,diluaran
dimaafin,dimaafkan
dimaenin,dimainkan
dimalahin,dimarahin
dimaluin,dimalukan
dimana,di mana
"dimana""",dimana mana
dimana2,dimana mana
dimane,di mana
dimao,dimau
dimarahin,dimarahi
dimasukin,dimasuki
dimatiin,dimatikan
dimenangke,dimenangkan
dimintak,diminta
dimna,dimana
dimodalin,dimodalkan
dimsyrkt,dimasyarakat
dimuka,di muka
dimusiumin,dimuseumkan
dinamakn,dinamakan
dinetralisir,dinetralisasi
"dingin""",dingin dingin
dintangkap,ditangkap
dinyanyiin,dinyanyikan
diomelin,dimarahi
dipajke,dipakai
dipake,dipakai
dipakek,dipakai
diparingi,diberikan
dipasangin,dipasangka
dipenjemnya,dipinjamnya
dipermainin,dipermainkan
dipersilahkan,dipersilakan
dipertahanin,dipertahankan
dipiara,dipelihara
dipikirin,dipikirkan
dipinggirin,dipinggirkan
dipinjem,dipinjam
dipinpim,dipimpin
dipojokin,dipojokkan
dipolitisir,dipolitisasi
diprlukan,diperlukan
dipuja2,dipuja puja
dipusat,di pusat
diputusin,diputuskan
diramein,diramaikan
direnungin,direnungkan
diributin,diributkan
dirimuuu,dirimu
dirmh,dirumah
dirmhny,dirumahnya
dirumah,di rumah
dirumahny,dirumahnya
disaat,di saat
disain,desain
disalahin,disalahkan
disampekan,disampaikan
disamping,di samping
disana,di sana
disbt,disebut
disebelah,di sebelah
diseberang,di seberang
disebutx,disebutnya
disekeliling,di sekeliling
disekitar,di sekitar
diselesaiin,diselesaikan
diselsaikan,diselesaikan
diseluruh,di seluruh
disemangatin,disemangatkan
disengajain,disengajakan
diserahkanterimakan,menyerahterimakan
diserng,diserang
dishere,dishare
disini,di sini
disiniii,disini
disinilh,disinilah
disisi,di sisi
disitu,di situ
diskotek,diskotik
diskotik,diskotek
diskripsi,deskripsi
dislesaikan,diselesaikan
disluruh,diseluruh
disni,disini
disono,di sana
dispin,dimasukkan
display,tampilan
disumpet,disumbat
disupirin,disopiri
disusupi,dimasuki
disyahkan,disahkan
ditanah,di tanah
ditandingin,ditandingkan
ditangkep,ditangkap
ditangkepin,ditangkap
ditanyaa,ditanya
ditanyain,ditanyakan
ditawarin,ditawarkan
ditayangin,ditayangkan
ditegasin,ditegaskan
diteken,ditekan
ditelen,ditelan
ditempat,di tempat
ditemuin,ditemukan
ditengah,di tengah
ditengah2,ditengah tengah
ditengah-tengah,di tengah tengah
ditengok,dilihat
ditepi,di tepi
diteriakin,diteriakan
dith,ditahun
ditiap,di tiap
ditiap-tiap,di tiap tiap
ditinggalain,ditinggalkan
dititipin,dititipkan
ditugasi,ditugaskan
ditulisin,dituliskan
diturunin,diturunkan
ditutupin,ditutupi
dituutup,ditutup
ditwitter,di twitter
diuber,dikejar
diumpetin,disembunyikan
diurusin,diurusi
divbanding,dibanding
diviralin,diviralkan
diwasap,di whatsapp
dizholimi,dizalimi
djmin,dijamin
djual,dijual
dkarenakan,dikarenakan
dkat,dekat
dket,dekat
dket2in,dekat dekati
dkg,dukung
dki,daerah khusus ibukota
dkira,dikira
dkit,dikit
dkk,dan kawan kawan
dkng,dukung
dkorupsi,dikorupsi
dkt,dekat
dkuburnya,dikuburnya
dkung,dukung
dkungan,dukungan
dl,dulu
dlam,dalam
dlewati,dilewati
dll,dan lain lain
dlm,dalam
dlu,dulu
dluar,diluar
dm,pesan langsung
dmana,dimana
dmn,dimana
dmna,dimana
dn,dan
dng,dengan
dngan,dengan
dngerin,mendengarkan
dngki,dengki
dngn,dengan
dngnya,dengannya
dnk,dong
do,di
do'a,doa
doa2,doa doa
doaang,doang
doain,doakan
doang,aja
doangam,doang
doank,aja
dodol,bodoh
doeloe,dulu
doi,dia
doku,uang
dolar,dollar
dolo,dulu
don juan,playboy
dongak,bodoh
dongg,dong
donggg,dong
dongggg,dong
dongok,bodoh
dongs,dong
donk,dong
donkk,dong
donks,dong
donlot,unduh
donwload,download
donx,dong
doong,dong
doonk,dong
dooong,dong
dosa2mu,dosa dosamu
dosaa,dosa
dosaaaaaaaaaa,dosa
dosax,dosanya
downgrade,menjatuhkan
download,unduh
doyan,suka
dpake,dipakai
dpannya,depannya
dpat,dapat
dperhatiin,diperhatikan
dpermaslahin,dipermasalahkan
dpet,dapat
dpisahkan,dipisahkan
dpke,dipakai
dpn,depan
dposisi,diposisi
dpotong,dipotong
dpt,dapat
dptkan,dapatkan
dptnya,dapatnya
dr,dari
dramaa,drama
drasakan,dirasakan
dri,dari
drii,dari
drimana,darimana
drimnanya,darimananya
dripada,daripada
dripd,dari pada
dripda,daripada
drmana,darimana
drmn,darimana
drpada,daripada
drpd,dari pada
drpda,daripada
drtd,dari tadi
drusak,dirusak
dsana,disana
dsar,dasar
dsb,dan sebagainya
dsbnya,dan sebagainya
dsini,disini
dsinilh,disinilah
dsn,disana
dsna,disana
dsni,disini
dsr,dasar
dsrny,dasarnya
dsrnya,dasarnya
dssi,disisi
dst,dan seterusnya
dstu,disitu
dsuruh,disuruh
dtang,datang
dtanya,ditanya
dteng,datang
dtg,datang
dtggu,ditunggu
dtgi,datangi
dtgkan,datangkan
dtinggl,ditinggal
dtng,datang
dtnggu,ditunggu
dtrusin,diteruskan
dtunggu,ditunggu
dua2nya,dua duanya
duanyaa,duanya
duetin,duet
dugem,dunia gemerlap
duh,aduh
duhh,duh
duhhh,duh
duhhhhh,duh
duid,duit
duidnya,duitnya
duit,uang
duitharam,duit haram
duitny,duitnya
duitt,duit
duittt,duit
duka cita,dukacita
duluan,dahulu
dulunya,dahulunya
dulurrr,dulur
duluu,dulu
duluuu,dulu
dumsss,dong
dung,dong
dungu,bodoh
dunk,dong
dureen,duren
duren,durian
durhaka2,durhaka durhaka
duuh,aduh
duuhh,duh
duuhhh,duh
duuhhhhh,duh
duuit,duit
duuuhh,duh
duuuhhh,duh
duwet,duit
duwit,duit
dwh,deh
dwi bahasa,dwibahasa
dwsa,dewasa
dy,dia
dya,dia
dzikir,zikir
dzolim,zalim
dzuhur,zuhur
ea,ya
eakyu,waktu
ed,edisi
edaaaan,edan
edaaan,edan
edaaann,edan
edan,dasar
edannn,edan
editannn,editan
eeeeh,eh
eeeehhhh,eh
eehhh,eh
eek,kotoran
eey,eh
efect,efek
efektifitas,efektivitas
efektip,efektif
efpei,fpi
egk,enggak
ego,emosi
egp,emang gue pikirin
ehh,eh
ehhh,eh
ehiya,eh iya
eike,aku
eka bahasa,ekabahasa
eke,aku
ekomi,ekonomi
ekpedisi,ekspedisi
eksim,eksem
eksport,ekspor
ekspress,express
eksprsi,ekspresi
ekstra kurikuler,ekstrakurikuler
ekstrim,ekstrem
ekwivalen,ekuivalen
elaaaahhhh,alah
elahh,alah
elit,elite
elo,kamu
elo2,lo lo
elok,bagus
eloo,lo
elu,kamu
elus2,elus elus
ema,emak
emak,ibu
emak2,emak emak
emakx,emaknya
emang,memang
emangnya,memangnya
emank,memang
emeessss,gemas
emeezzz,gemas
emeshh,gemas
emesshhh,gemas
emessss,gemas
emg,emang
emgnya,memangnya
emk,emak
emng,memang
emngnya,memangnya
emnknya,memangnya
emperan,halaman
emte,makan teman
en,dan
enakkkkk,enak
endak,tidak
ending,berakhir
endonesa,indonesia
endonesia,indonesia
eneg,bosan
enek,muak
energy,energi
engga,enggak
"engga""",enggak enggak
enggak,tidak
engk,enggak
enjoy,santai
enk,enak
entahhh,entah
entar,nanti
ente,kamu
enteng,mudah
entiaw,ngentot
entod,entot
entot,ngentot
entr,entar
envy,iri
epe,apa
epektip,epektif
epsd,episode
eror,error
error,rusak
esei,esai
esemka,sekolah menengah kejuruan
esempe,sekolah menengah pertama
esmosi,emosi
eta,era
etc,et cetera
etdah,entah
euyyyyy,euy
ewek,ewe
ex,mantan
exim,eksem
expedisi,ekspedisi
expektasi,ekspektasi
expor,ekspor
expresi,ekspresi
ext,extension
extasi,ekstasi
extra,ekstra
eyke,aku
faham,paham
faidah,faedah
failed,gagal
fair,adil
fairnya,adilnya
fak,fakultas
fake,falsu
faksimil,faksimile
faksimili,faksimile
fakta2,fakta fakta
faktakta,fakta
fakultass,fakultas
familiar,familier
fans,fan
fans2,fan fan
faq,pertanyaan umum
fast,cepat
fatanik,fanatik
fav,favorit
favoriteeee,favorit
fax,facsimile
fb,facebook
febuari,februari
fesbuk,fb
fh,fahri hamzah
fham,paham
fhm,paham
fhoto,foto
fhotonya,fotonya
fi,di
fifo,first in first out
figur,fitur
fihak,pihak
fikir,pikir
fikiran,pikiran
fillm,film
filmny,filmnya
finek,finansial ekonomi
fitnag,fitnah
fix,pasti
fjb,forum jual beli
fkta,fakta
flasale,flash sale
flashsale,flash sale
fles,flash
flim.a,filmnya
flm,film
folbek,follow back
follow,mengikuti
for,untuk
formil,formal
fotbar,foto bareng
"foto""",foto foto
foto2,foto foto
foto2nya,foto fotonya
fotoin,memfoto
fotony,fotonya
fpi,front pembela islam
frase,frasa
free,gratis
frekwensi,frekuensi
frestasiii,prestasi
fs,flash sale
ft,foto
fto,foto
fto2,foto foto
fuchri,fahri
fuck,bangsat
fulus,uang
fwd,diterukan
fyi,sebagai informasi
fz,fadlin zon
g,enggak
ga,enggak
gaa,enggak
gaada,enggak ada
gaakan,tidak akan
gabakal,enggak bakal
gabener,tidak benar
gaberner,tidak benar
gabiasa,tidak biasa
gabisa,enggak bisa
gaboleh,enggak boleh
gabut,gaji buta
gacord,gacor
gacorr,gacor
gacorslot,gacor slot
gada,enggak ada
gadget,gawai
gadiss,gadis
gaesss,gaes
gag,enggak
gagaaaaal,gagal
gagahx,gagahnya
gagaly,gagalnya
gahar,sangar
gaharus,enggak harus
gaje,enggak jelas
gajebo,tidak jelas
gajelas,enggak jelas
gak,enggak
gak papa,tidak apa apa
gakada,tidak ada
gakda,tidak ada
gakk,enggak
gakkk,enggak
gakmau,gak mau
gakpapa,enggak apa apa
gaksah,tidak susah
gakuat,enggak kuat
gakusah,enggak usah
gakuwaatt,tidak kuat
gakwad,enggak kuat
galau,bimbang
gamau,enggak mau
gambarin,gambarkan
games,game
gamparin,tampar
gamungk,tidak mungkin
gan,juragan
gandos,sekali
gangguin,mengganggu
gank,kelompok
gans,ganteng
ganteeeeng,ganteng
ganteng2,ganteng ganteng
gantengbs,ganteng
gantengg,ganteng
gantenggg,ganteng
gantengkuuuuuu,gantengku
gantengnyaaaa,gantengnya
gantengsaya,ganteng
ganteung,ganteng
gantheng,ganteng
gantiin,gantikan
ganti'kn,menggantikan
gantng,ganteng
gantweng,ganteng
ganyang,tangkap
gaosah,tidak usah
gapai,raih
gapake,enggak pakai
gapap,enggak apa apa
gapapa,tidak apa
gapapaaa,gak apa apa
gapeduli,gak peduli
gaperlu,tidak perlu
gapernah,enggak pernah
gaprgi,enggak pergi
gaptek,gagap teknologi
gapunya,enggak punya
gara'',gara gara
"gara""",gara gara
gara2,gara gara
garemin,garami
garing,bosan
garong,perampok
garuk2,garuk garuk
gasalah,enggak salah
gasengaja,tidak sengaja
gasih,enggak sih
gatau,enggak tau
gataunya,enggak taunya
gatauu,tidak tahu
gatek,gagap teknologi
gatel,gatal
gatot,gagal total
gausa,enggak usah
gausah,enggak usah
gawe,kerja
gawean,kerja
gawl,gaul
gawul,gaul
gax,tidak
gayannxa,gayanya
gayany,gayanya
gayax,gayanya
gblk,bodoh
gbr,gambar
gbs,enggak bisa
gda,enggak ada
gde,gede
gebetan,orang yang disuka
gebleg,geblek
gebuk,hajar
gebukk,hajar
gede,besar
gede2an,besar besaran
gedeg,gedek
gedhe,besar
geeelaakk,gila
geer,gede rasa
geetoo,begitu
gegara,gara gara
gegra,gegara
geh,gih
gehh,gih
geje,tidak jelas
gelo,gila
gem,game
gemana,gimana
gemay,gemas
geme,game
gemeeezzzz,gemas
gemeessss,gemas
gemes,gemas
gemesiin,menggemaskan
gemesin,menggemaskan
gemesinnnnn,menggemaskan
gemesnya,gemasnya
gemess,gemas
gemesshh,gemas
gemesshzzzzhzzhzhzhsjssjs,gemas
gemesss,gemas
gemesyak,gemas ya
gemez,gemas
gemezz,gemas
gemezzzz,gemas
gemmeeezzz,gemas
gen,generasi
gendeng,gila
genduut,gendut
geneeee,begini
geng,kelompok
gengges,ganggu
genggg,geng
genittt,genit
genk,kelompok
genocide,genosida
genteng,genting
gepeng,gelandangan dan pengemis
gercep,gerak cepat
gerimbolan,gerombolan
gerindong,gerinda
gerindrong,gerinda
gerombolan,kelompok
getoff,keluar
getohhh,gitu
geuliiiiiiis,geulis
gewlaaaaa,gila
gf,pacar
gg,enggak
gga,enggak
ggal,gagal
ggl,gagal
ghibahin,gibah
ghiey,lagi
ghiy,lagi
gi,lagi
gift,hadiah
giga ohm,gigaohm
giitu,begitu
gila2an,gila gilaan
gilaa,gila
gilaaa,gila
gilaaaa,gila
gilaaaaaa,gila
gilak,gila
gilakkk,gila
gilakkkkk,gila
gilakkkkkk,gila
gile,gila
gilee,gila
gileee,gila
gilo,gila
gils,gila
gilsss,gila
gilzz,gila
gim,game
giman,gigi mancung
gimana,bagaimana
gimanaa,bagaimana
gimanaaaa,bagaimana
gimane,bagaimana
gimn,bagaimana
gimna,bagaimana
gingsungny,gingsulnya
gini,begini
ginian,beginian
ginii,begini
giniii,begini
giniin,beginikan
gino,gigi nongol
ginting,ganteng
giring,mengantarkan
gisi,gizi
gitchu,gitu
githu,gitu
giti,begitu
gitu,begitu
gitu2,begitu gitu
gituan,begituan
gituh,begitu
gituin,begitukan
gitulah,begitulah
gituu,begitu
gituuu,begitu
gituuuuu,begitu
gj,tidak jelas
gk,enggak
gkhianati,mengkhianati
gkjd,gak jadi
gkk,enggak
gkkan,enggak akan
gksalah,enggak salah
gksi,enggak sih
glembeeeer,gelambir
glukosa,glucose
gmana,bagaimana
gmanapun,bagaimanapun
gmau,enggak mau
gmn,bagaimana
gmna,bagaimana
gmpang,mudah
gmpg,gampang
gmpng,gampang
gn,begini
gndakan,gandakan
gni,begini
gnii,begini
gnkn,gunakan
gnti,ganti
gnyngka,enggak menyangka
go,tidak
goa,gua
goal,tujuan
gobl,goblok
goblkannnya,bodohnya
goblog,goblok
goblok,bodoh
goblokk,bodoh
goblokkk,goblok
gobloknya,bodohnya
goblook,goblok
gobloook,goblok
god,bagus
godjob, good job
goib,gaib
gokiiill,gila
gokil,gila
gokill,gila
gokilll,gila
gokillllll,gila
gokilnya,gilanya
gold,emas
golput,golongan putih
gombal,suka merayu
gombrong,gombroh
goncang,guncang
goncengin,boncengkan
good,bagus
goodbye,selamat tinggal
gosah,tidak usah
gosipin,menggosipkan
gossip2.an,gosip gosipan
governor,gubernur
govlok,goblok
gowes,mengayuh sepeda
gpernah,tidak pernah
gpl,tidak pakai lama
gpny,tidak punya
gpp,enggak apa apa
gr,gede rasa
gr gr,gara gara
gr2,gara gara
gra,gara
gra2,gara gara
graaatiiiis,gratis
graha,gerha
grammar,tata bahasa
gratiss,gratis
gratisss,gratis
greged,greget
gretong,gratis
gretongan,gratisan
grgr,gara gara
group,grup
grunya,gurunya
gt,begitu
gtau,enggak tau
gthu,begitu
gtu,begitu
"gtu""",begitu gitu
"gtu""an",begitu gituan
gtu2,begitu gitu
gtuh,begitu
gtuu,begitu
gtw,enggak tau
gua,saya
guaa,gua
guaaaaaaa,gua
guanteng,ganteng
gub,gubernur
gubug,gubuk
guburnur,gubernur
gue,aku
guee,gue
gueee,gue
gueeeee,gue
gunaa,guna
gunain,gunakan
guoblok,bodoh
guoooblokkk,bodoh
guw,gue
guys,teman teman
gw,gue
gwa,aku
gwe,aku
gws,cepat sembuh
gx,enggak
gya,gaya
ha,tertawa
hacep,pesta pora
hadapin,menghadapi
haddeh,aduh
hadeeehhh,aduh
hadeeehhhh,aduh
hadeeh,aduh
hadeehh,aduh
hadeeuh,aduh
hadeh,aduh
hadehh,aduh
hadehhh,aduh
hadeuh,aduh
hadeuhhhh,aduh
hadeuuh,aduh
hadeuuhhhh,aduh
hadeuuuhhhhh,aduh
hadew,aduh
hadewww,aduh
hadhewwh,aduh
hadirr,hadir
hadirrr,hadir
hadist,hadis
hadits,hadis
hadooohhh,aduh
hadu,aduh
haduh,aduh
haduuuh,aduh
haeduh,aduh
haghaghag,tertawa
haha,tertawa
hahaha,tertawa
hahahaha,haha
hahahahaa,haha
hahahahahahaa,haha
hahahahahahaha,tertawa
hahahahhaa,haha
hahhahah,tertawa
haii,hai
haiii,hai
hakekat,hakikat
hakhak,tertawa
haknye,haknya
hal2,hal hal
halah,aduh
halahh,alah
halangin,halangi
halllo,halo
hallo,halo
hallooo,halo
hallow,halo
halooo,halo
halow,halo
hampasss,hempas
hancurin,hancurkan
hancurr,hancur
hancuuuur,hancur
hancuuuuuy,hancur
hand,tangan
handak,bahan peledak
handal,andal
handehh,aduh
handphone,telepon genggam
hankam,pertahanan dan keamanan
hansip,pertahanan sipil
hantar,antar
hanx,hanya
hapal,hafal
hape,telepon genggam
"happi""",hepi hepi
happy,bahagia
hapusin,hapuskan
harafiah,harfiah
haragain,menghargai
harama,haram
haramkeun,haramkan
haramm,haram
haramukum,haram
hardcore,keras
hargs,harga
harha,harga
hari2,hari hari
harom,haram
haru,harus
harusny,harusnya
harusx,harusnya
hasilnyaaa,hasilnya
hasilx,hasilnya
haslnya,hasilnya
hat,hati
hater,pembenci
haters,membenci
"hati""",hati hati
hati.a,hatinya
hati2,hati hati
hatii,hati
hatiiii,hati
hatinx,hatinya
hatter,pembenci
hatters,pembenci
hatur,terima
haturkan,ucapkan
hawatir,khawatir
hay,hai
hayal,khayal
hayalanku,khayalanku
hayo,ayo
hayooo,ayo
hayukk,hayo
hayuu,hayo
hbat,hebat
hbd,happy birthday
hbis,habis
hbs,habis
hdk,hendak
hdp,hidup
hdpn,hadapan
hdpnya,hidupnya
hdr,hadir
hdup,hidup
heasteg,hastag
hebaat,hebat
hebatt,hebat
hedeuuhh,aduh
heeee,hai
hehe,he
hehehe,tertawa
hehh,eh
heii,hai
hektar,hectare
hello,halo
helloo,halo
hellooooooo,halo
hellow,halo
helo,halo
helooooo,halo
helow,halo
hematt,hemat
hembus,embus
hempaass,hempas
hendk,hendak
hepi,senang
hestek,hastag
heter,pembenci
heters,pembenci
hetrogen,heterogen
hey,hai
hgga,hingga
hi,hai
hianatin,khianati
hidiyah,hidayah
hidupin,hidupkan
hiduppp,hidup
hidupppp,hidup
hidupx,hidupnya
hiduupppp,hidup
hiduuup,hidup
high,tinggi
hihihi,tertawa
hiii,hai
hijaabbb,hijab
hijabb,hijab
hijap,hijab
hikim,hukum
hilangin,menghilangkan
hilangv,hilang
himana,bagaimana
himbau,imbau
hindia-belanda,hindia belanda
hipotesa,hipotesis
hipotik,hipotek
hirarkhi,hierarki
hirarki,hierarki
hiraukn,hiraukan
hiri,hari
hisap,isap
hit,terpopuler
hits,terkini
hitunganx,hitungannya
hkm,hukum
hkmn,hukuman
hkum,hukum
hlang,hilang
hlm,halaman
hlng,hilang
hmpir,hampir
hmpr,hampir
hndak,hendak
hndk,hendak
hngga,hingga
hny,hanya
hnya,hanya
hnyalah,hanyalah
hoaks,hoax
hoax,isu bohong
hobine,hobinya
hoby,suka
hokiii,hoki
hole,lubang
holol,tolol
hooh,iya
hopeless,putus asa
horang,orang
horden,gorden
hotak,botak
hotx,hotnya
houm,rumah
hp,telepon genggam
hpus,hapus
hr,hari
hrg,harga
hrga,harga
hri,hari
hrpkan,harapkan
hrpn,harapan
hrs,habib rizieq shihab
hrsny,harusny
hrsnya,harusnya
hrus,harus
hrusnya,harusnya
hslnya,hasilnya
ht,hati
htg,hutang
hti,hizbut tahrir
htl,hotel
hub,hubungan
hubad,hubungan angkatan darat
hubdar,perhubungan darat
hubla,perhubungan laut
hubngan,hubungan
hubunggi,hubungi
huff,mengeluh
huft,mengeluh
hujatann,hujatan
hukuma,hukuman
hukumat,hukum mati
hukumny,hukumnya
hukumnyaa,hukumnya
hukumnye,hukumnya
hulu balang,hulubalang
hum,rumah
humas,hubungan masyarakat
humoris,lucu
humz,rumah
hurts,pedih
hutang,utang
hx,hanya
hy,hai
hyalah,hanyalah
ia,dia
iaa,iya
ibaratny,ibaratnya
ibliss,iblis
ibu2,ibu ibu
ibuk2,ibu ibu
idamann,idaman
ideolgi,ideologi
idialis,idealis
idiologi,ideologi
idk,saya tidak tahu
idolaa,idola
idoolaaa,idola
idung,hidung
idungnya,hidungnya
idup,hidup
idupnya,hidupnya
